sku,product_name,brand,category,manufacturer_part_number,compatible_vehicles,replacement_sku,alternative_sku,accessory_skus,description,image_folder,image_count,attributes
TB-1002,Cable-Operated Throttle Body,Denso,Throttle Body,DEN-TB-1002,Toyota Hilux (2016-2022),,TB-1004,AFR-003,"Mechanical cable-operated throttle body equipped with a cast-aluminium housing, an external throttle cable pulley and return-spring linkage, and an adjustable cable-stop bracket for direct mechanical throttle response without electronic actuation.",images/TB-1002,11,"{""material"": ""aluminium"", ""throttle_control"": ""cable-operated""}"
TB-1003,Dual-Blade Performance Throttle Body,Holley,Throttle Body,HOL-TB-1003,Ford Mustang GT (2015-2020),,TB-1005,AFR-002,"High-performance dual-bore CNC-machined billet-aluminium throttle body featuring two brass-tone butterfly valves linked by a common shaft, a cable-pulley throttle linkage, and a compact four-bolt mounting flange designed for increased airflow.",images/TB-1003,4,"{""material"": ""aluminium""}"
TB-1004,Throttle Body with IAC,Hitachi,Throttle Body,HIT-TB-1004,Nissan Sentra (2013-2019),,TB-1002,FI-1002,"OEM-style throttle body incorporating an integrated electronic actuator motor, a multi-pin sensor connector, and two brass barbed vacuum ports for the Idle Air Control circuit, providing stable idle speed and accurate throttle position feedback.",images/TB-1004,4,"{""throttle_control"": ""electronic""}"
TB-1005,Diesel Air Intake Throttle Valve,Pierburg,Throttle Body,PIE-TB-1005,Volkswagen Amarok (2011-2020),,TB-1001,FI-1004,"Heavy-duty diesel air intake throttle valve assembly featuring a reinforced cast housing, an oversized black electronic actuator, dual brass port fittings, and a wide-bore intake passage engineered for industrial diesel airflow demands.",images/TB-1005,4,"{""primary_colour"": ""black"", ""throttle_control"": ""electronic""}"
WHA-1001,Wheel Hub Assembly with ABS Sensor,SKF,Wheel Hub Assembly,SKF-WHA-ABS-101,Toyota Corolla (2014-2019),,WHA-1002,PSP-1001,"Front wheel hub assembly with an integrated ABS wheel speed sensor and pre-installed sealed bearing. Features a precision-machined six-stud flange, a corrosion-resistant plated finish, and a routed sensor harness terminating in a black multi-pin connector for direct plug-in installation.",images/WHA-1001,5,"{""abs_sensor"": ""yes"", ""position"": ""front"", ""primary_colour"": ""silver""}"
WHA-1002,Wheel Hub Assembly (No ABS),Timken,Wheel Hub Assembly,TIM-WHA-502,Hyundai Accent (2018-2022),,WHA-1001,FI-1002,"Wheel hub assembly without an ABS sensor, featuring a cast-iron bearing carrier, an integrated sealed double-row bearing, and a durable steel stud flange engineered for reliable long-term wheel support.",images/WHA-1002,5,"{""abs_sensor"": ""no"", ""material"": ""steel"", ""primary_colour"": ""black""}"
WHA-1003,4-Lug Wheel Hub Assembly,MOOG,Wheel Hub Assembly,MOG-WHA-4L-501,Honda Brio (2019-2022),,WHA-1002,PSP-1002,"Compact wheel hub assembly designed for lightweight passenger vehicles, featuring a smaller-diameter flange with four wheel studs, a precision-machined steel body, and an integrated sealed bearing for smooth low-friction rotation.",images/WHA-1003,7,"{""lug_count"": ""4"", ""material"": ""steel"", ""primary_colour"": ""gold""}"
WHA-1004,Heavy-Duty 6-Lug Wheel Hub Assembly,ACDelco,Wheel Hub Assembly,ACD-WHA-HD-601,Toyota Hilux (2016-2022),,WHA-1001,AFR-003,"Heavy-duty wheel hub assembly engineered for pickup trucks and commercial vehicles, featuring a reinforced six-stud flange, an oversized sealed double-row bearing, and an integrated rear steering-knuckle mounting flange with multiple bolt-through holes.",images/WHA-1004,4,"{""lug_count"": ""6"", ""position"": ""rear"", ""primary_colour"": ""bronze""}"
EXM-1001,OEM Cast Iron Exhaust Manifold,Dorman,Exhaust Manifold,DOR-EXM-1001,Ford Focus (2012-2018),,EXM-1002,PSP-1003,"OEM-style cast-iron log exhaust manifold featuring four integrated header runners, a rough-cast textured finish, and a multi-hole mounting flange for a direct-fit factory replacement on inline-four engines.",images/EXM-1001,3,"{""manifold_style"": ""header"", ""material"": ""cast-iron""}"
EXM-1002,Stainless Steel Shorty Performance Header,BBK Performance,Exhaust Manifold,BBK-EXM-1002,Ford Mustang GT (2015-2020),,EXM-1004,SHK-1002,"Stainless steel shorty performance header with short, mandrel-bent primary tubes converging into a compact merge collector, paired with a black-coated mounting flange for improved exhaust flow over the stock cast manifold.",images/EXM-1002,3,"{""manifold_style"": ""shorty-header"", ""material"": ""stainless-steel"", ""primary_colour"": ""black""}"
EXM-1003,Performance Header with Integrated Catalytic Converter,Magnaflow,Exhaust Manifold,MAG-EXM-1003,Honda Civic (2016-2021),,EXM-1005,WHA-1004,"Performance header with an integrated catalytic converter, featuring brushed stainless-steel primary tubes merging into a cylindrical converter canister, designed as a bolt-on emissions-compliant upgrade over the factory manifold.",images/EXM-1003,3,"{""catalytic_converter"": ""yes"", ""manifold_style"": ""header"", ""material"": ""stainless-steel""}"
EXM-1004,Long-Tube Performance Header,Doug Thorley Headers,Exhaust Manifold,DTH-EXM-1004,Chevrolet Silverado 1500 (2014-2019),,EXM-1002,BP-1003,"Long-tube performance header featuring four individually mandrel-bent stainless-steel primary tubes merging into a single large-diameter collector with a slip-fit exhaust outlet, engineered for maximum exhaust flow in V8 applications.",images/EXM-1004,3,"{""manifold_style"": ""long-tube-header"", ""material"": ""stainless-steel"", ""sold_as"": ""single""}"
EXM-1005,OEM Exhaust Manifold with Catalytic Converter,Walker Exhaust,Exhaust Manifold,WLK-EXM-1005,Nissan Sentra (2013-2019),,EXM-1003,TB-1004,"OEM-style exhaust manifold and catalytic converter assembly with a weathered stainless finish, featuring integrated log-style runners, a mid-mounted catalytic converter canister, and a factory mounting flange for direct-fit replacement.",images/EXM-1005,3,"{""catalytic_converter"": ""yes"", ""manifold_style"": ""oem-manifold"", ""material"": ""stainless-steel""}"
EXM-1006,Stainless Exhaust Manifold with Catalytic Converter,Eastern Catalytic,Exhaust Manifold,EAS-EXM-1006,Hyundai Sonata (2011-2014) 2.4L,,EXM-1008,OF-1003,"Direct-fit stainless-steel exhaust manifold with an integrated catalytic converter for transverse four-cylinder engines, featuring four brushed-stainless primary runners rising from a heat-discoloured four-port head flange into a cylindrical converter canister, with a side-mounted take-off pipe and its own small flange.",images/EXM-1006,3,"{""catalytic_converter"": ""yes"", ""manifold_style"": ""oem-manifold"", ""material"": ""stainless-steel""}"
EXM-1007,Cast-Iron Exhaust Manifold with Integrated Turbocharger,BorgWarner,Exhaust Manifold,BGW-EXM-1007,Volkswagen Passat TDI (2012-2015) 2.0L,,EXM-1001,TB-1005,"Heavy-duty cast-iron exhaust manifold with an integrated turbocharger, featuring a rough-cast bronze-toned four-port mounting flange, a centre-mounted turbine and compressor housing, and an electronic wastegate actuator with a black connector. Supplied as a complete direct-fit turbo-manifold assembly.",images/EXM-1007,3,"{""manifold_style"": ""oem-manifold"", ""material"": ""cast-iron"", ""primary_colour"": ""bronze""}"
EXM-1008,Brushed Stainless Header with Integrated Catalytic Converter,Davico,Exhaust Manifold,DAV-EXM-1008,Mini Cooper (2014-2018) 1.5L,,EXM-1006,WHA-1002,"Bolt-on brushed stainless-steel performance header with an integrated catalytic converter, featuring three mandrel-bent primary tubes that merge into a cylindrical converter canister fitted with a threaded oxygen-sensor bung, mounted to a flat multi-bolt head flange.",images/EXM-1008,3,"{""catalytic_converter"": ""yes"", ""manifold_style"": ""header"", ""material"": ""stainless-steel""}"
SHK-1001,OEM Front Strut Assembly Pair,KYB,Shock Absorber,KYB-SHK-1001,Toyota Corolla (2014-2019),,SHK-1004,TB-1001,"Matched pair of OEM-replacement front strut assemblies featuring black coil springs, precision-machined damper bodies, and silver upper strut mounts pre-installed for a direct bolt-in replacement.",images/SHK-1001,3,"{""damper_style"": ""strut-assembly"", ""position"": ""front"", ""primary_colour"": ""black"", ""sold_as"": ""pair""}"
SHK-1002,Performance Shock Absorber Pair (Red Spring),QA1,Shock Absorber,QA1-SHK-1002,Ford Mustang GT (2015-2020),,SHK-1005,AFR-002,"Matched pair of performance shock absorbers featuring polished chrome damper bodies, red powder-coated coil springs, and dual spherical eyelet mounts for adjustable ride height applications.",images/SHK-1002,3,"{""damper_style"": ""shock-absorber"", ""primary_colour"": ""red"", ""sold_as"": ""pair""}"
SHK-1003,Standard Rear Shock Absorber,Monroe,Shock Absorber,MON-SHK-1003,Honda Civic (2016-2021),,SHK-1001,AFR-1005,"Standard rear shock absorber with a chrome-plated damper body, a black coil-over spring, and rubber-bushed eyelet mounts at both ends for a direct OEM-style replacement fit.",images/SHK-1003,3,"{""damper_style"": ""shock-absorber"", ""material"": ""rubber"", ""position"": ""rear"", ""primary_colour"": ""chrome""}"
SHK-1004,OEM Front Strut Assembly with Knuckle,KYB,Shock Absorber,KYB-SHK-1004,Toyota Hilux (2016-2022),,SHK-1001,TB-1002,"OEM-style front strut assembly with an integrated steering-knuckle mounting bracket, a silver damper body, and a black coil spring, engineered as a complete direct-fit replacement including the knuckle interface.",images/SHK-1004,3,"{""damper_style"": ""strut-assembly"", ""position"": ""front"", ""primary_colour"": ""silver""}"
SHK-1005,Adjustable Remote-Reservoir Shock Absorber,Bilstein,Shock Absorber,BIL-SHK-1005,Chevrolet Silverado 1500 (2014-2019),,SHK-1002,OF-1005,"Adjustable remote-reservoir shock absorber featuring a piggyback reservoir canister connected via a braided hydraulic line, a silver damper body, and a coil-over spring, designed for high-performance and off-road applications requiring additional damping capacity.",images/SHK-1005,3,"{""damper_style"": ""remote-reservoir"", ""primary_colour"": ""silver""}"
SHK-1006,OEM Front Strut Assembly with Bracket,Sachs,Shock Absorber,SAC-SHK-1006,Nissan Altima (2013-2018),,SHK-1001,TB-1004,"OEM-replacement front strut featuring a black-painted twin-tube damper body, a lower steering-knuckle mounting bracket with bolt holes, a formed lower spring perch, and a hardened piston rod with a threaded top mounting stud. Sold as a single direct-fit strut.",images/SHK-1006,3,"{""damper_style"": ""strut-assembly"", ""position"": ""front"", ""primary_colour"": ""black"", ""sold_as"": ""single""}"
SHK-1007,Air Suspension Strut (Double-Convolute),Arnott,Shock Absorber,ARN-SHK-1007,Mercedes-Benz S-Class (2007-2013),,SHK-1005,PSP-1003,"Air-ride suspension strut featuring a double-convolute black rubber air spring bellows over an internal damper, a machined aluminium threaded body, and a stainless U-clamp mounting bracket at the base. Provides adjustable ride height and load levelling.",images/SHK-1007,3,"{""damper_style"": ""air-strut"", ""material"": ""stainless-steel"", ""primary_colour"": ""black""}"
SHK-1008,Twin-Tube Rear Shock Absorber Pair,Gabriel,Shock Absorber,GAB-SHK-1008,Ford Transit (2015-2020),,SHK-1003,SBH-1002,Matched pair of gas-charged twin-tube rear shock absorbers with graphite-grey painted damper bodies and rubber-bushed steel eyelet mounts carrying bronze inner sleeves at both ends. Tuned for controlled rebound as a direct OEM-style replacement in light trucks and vans.,images/SHK-1008,3,"{""damper_style"": ""shock-absorber"", ""material"": ""rubber"", ""position"": ""rear"", ""primary_colour"": ""grey"", ""sold_as"": ""pair""}"
SBH-1001,Control Arm Bushing Pair,MOOG,Suspension Bushing,MOG-SBH-1001,Toyota Corolla (2014-2019),,SBH-1002,FI-1001,"Pair of rubber-and-steel control arm bushings featuring a cylindrical outer steel sleeve bonded to a moulded rubber inner body with a splined centre bore, designed for OEM-style vibration isolation in the front control arm.",images/SBH-1001,3,"{""material"": ""rubber"", ""position"": ""front"", ""sold_as"": ""pair""}"
SBH-1002,Rear Control Arm Bushing,MOOG,Suspension Bushing,MOG-SBH-1002,Honda Civic (2016-2021),,SBH-1001,PSP-1002,"Rear control arm bushing featuring a cylindrical steel sleeve with moulded rubber on both faces, providing controlled flex and vibration damping at the suspension pivot point.",images/SBH-1002,3,"{""material"": ""rubber"", ""position"": ""rear""}"
SBH-1003,Polyurethane Sway Bar Bushing,Energy Suspension,Suspension Bushing,ENS-SBH-1003,Ford Mustang GT (2015-2020),,SBH-1005,TB-1003,"Performance polyurethane bushing featuring a bright orange polyurethane body bonded to a gold zinc-plated steel sleeve, engineered as a firmer, longer-lasting aftermarket replacement for factory sway bar and control arm bushings.",images/SBH-1003,3,"{""material"": ""polyurethane"", ""primary_colour"": ""gold""}"
SBH-1004,Front Lower Control Arm Bushing with Bracket,MOOG,Suspension Bushing,MOG-SBH-1004,Toyota Hilux (2016-2022),,SBH-1001,WHA-1004,"Front lower control arm bushings pre-installed in machined metal mounting brackets, featuring moulded rubber bushing cores with relief voids and an elongated bolt slot for direct bolt-in replacement. Supplied as a left and right pair.",images/SBH-1004,3,"{""material"": ""rubber"", ""position"": ""front"", ""sold_as"": ""pair""}"
SBH-1005,Polyurethane Subframe Bushing Set,Energy Suspension,Suspension Bushing,ENS-SBH-1005,Chevrolet Silverado 1500 (2014-2019),,SBH-1003,BP-1003,"Set of three green polyurethane subframe bushings featuring a cylindrical polyurethane body bonded to a steel inner sleeve, designed as a durable aftermarket upgrade for factory rubber subframe mounts.",images/SBH-1005,3,"{""material"": ""polyurethane"", ""primary_colour"": ""green"", ""sold_as"": ""set""}"
SBH-1006,Front Control Arm Bushing,Mevotech,Suspension Bushing,MEV-SBH-1006,Honda Accord (2008-2012),,SBH-1002,FI-1002,"OEM-style front control arm bushing featuring a barrel-shaped moulded rubber body with flared ends bonded to a steel inner sleeve, engineered for vibration isolation and controlled compliance at the control-arm pivot point. Sold as a single press-in bushing.",images/SBH-1006,3,"{""material"": ""rubber"", ""position"": ""front"", ""sold_as"": ""single""}"
SBH-1007,Rear Trailing Arm Bushing with Bracket,TRW,Suspension Bushing,TRW-SBH-1007,Mazda 3 (2010-2013),,SBH-1004,WHA-1003,"Rear trailing-arm bushing pre-installed in a black cast bracket with two bolt-through mounting ears, featuring a moulded rubber bushing core with internal voids for tuned directional compliance.",images/SBH-1007,3,"{""material"": ""rubber"", ""position"": ""rear"", ""primary_colour"": ""black""}"
SBH-1008,Polyurethane Body Mount Bushing Set,Prothane,Suspension Bushing,PRO-SBH-1008,Jeep Wrangler (2007-2018),,SBH-1003,BP-1002,"Set of three light-grey polyurethane body-mount bushings in graduated sizes, each featuring a solid polyurethane body with a central bore, engineered as a firmer, longer-lasting aftermarket replacement for factory rubber body and cab mounts.",images/SBH-1008,3,"{""material"": ""polyurethane"", ""primary_colour"": ""grey"", ""sold_as"": ""set""}"
PSP-1004,Hydraulic Power Steering Pump with Pulley,TRW,Power Steering Pump,TRW-PSP-1004,Nissan Altima (2013-2018)|Chevrolet Malibu (2013-2016),,PSP-1001,WHA-1002,"Belt-driven hydraulic power steering pump supplied with the serpentine pulley already pressed on. Cast-aluminium housing with a machined mounting boss, a black stamped-steel multi-groove pulley, a yellow flow-control cap over the pressure port, and a zinc-plated steel return-line elbow. No integrated reservoir - fluid is supplied from a remote tank through the barbed return fitting.",images/PSP-1004,4,"{""integrated_reservoir"": ""no"", ""material"": ""aluminium"", ""primary_colour"": ""black"", ""pulley_fitted"": ""yes"", ""pump_style"": ""hydraulic""}"
